file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\engine\jdbc\mutation\internal\MutationQueryOptions.java,org.hibernate.engine.jdbc.mutation.internal.MutationQueryOptions$LimitImpl,innerclass,2,2,0,2,4,2,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,19,10,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\select\SelectClause.java,org.hibernate.sql.ast.tree.select.SelectClause,class,3,10,7,3,7,1,0,2,7,0.5714286,0.33333334,0.33333334,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,0,25,2,0,0,0,0,0,0,3,0,2,0,0,0,0,39,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\PluralAttributeSourceIdBagImpl.java,org.hibernate.boot.model.source.internal.hbm.PluralAttributeSourceIdBagImpl,class,18,20,2,18,8,2,0,17,13,0.6428572,0.1904762,0.2857143,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,3,77,6,0,0,0,1,1,0,3,0,3,1,1,1,0,41,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\sql\internal\AbstractSqmPathInterpretation.java,org.hibernate.query.sqm.sql.internal.AbstractSqmPathInterpretation,class,8,18,10,8,9,1,0,3,0,0.44444445,0.6666667,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,28,4,0,3,0,0,0,0,3,0,3,0,0,0,0,28,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\internal\SqmMappingModelHelper.java,org.hibernate.query.sqm.internal.SqmMappingModelHelper,class,34,36,2,34,22,1,0,25,28,0.0,0.0,0.0,8,7,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,85,19,0,2,0,1,2,0,16,1,15,2,0,0,0,86,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\mutation\internal\temptable\PersistentTableStrategy.java,org.hibernate.query.sqm.mutation.internal.temptable.PersistentTableStrategy,class,8,11,3,8,15,1,2,17,0,0.72,0.7,1.0,5,0,5,0,0,0,5,0,0,0,10,6,5,5,0,0,8,0,0,92,9,0,1,6,0,12,0,18,1,17,2,0,0,0,100,1025,3
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\select\QueryPart.java,org.hibernate.sql.ast.tree.select.QueryPart,class,8,24,16,8,27,1,2,4,93,0.78703696,0.19607843,0.59477127,18,0,17,0,1,0,18,4,0,0,6,0,0,6,0,0,1,0,0,79,8,0,7,0,0,1,0,15,0,6,2,0,0,0,62,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\jaxb\mapping\marshall\DiscriminatorTypeMarshalling.java,org.hibernate.boot.jaxb.mapping.marshall.DiscriminatorTypeMarshalling,class,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\generator\AnnotationBasedGenerator.java,org.hibernate.generator.AnnotationBasedGenerator,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\expression\SqlTuple.java,org.hibernate.sql.ast.tree.expression.SqlTuple$Builder,innerclass,3,3,0,3,6,1,0,2,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,1,20,1,0,2,0,0,0,0,3,0,2,1,0,0,0,17,9,0
